codigo	descriptor completo	descriptor corto		
9561/3	Tumor maligno de vaina del nervio periférico con diferenciación rabdomioblástica	"Tum. maligno vaina nervio periférico, difer. Rabdomioblástica"		
9561/6	"Tumor maligno de vaina del nervio periférico con diferenciación rabdomioblástica, metástasis"	"Tum. maligno vaina nerv. periférico dif. rabdomioblástica, metástasis"		
9562/0	Neurotecoma	Neurotecoma		
9570/0	"Neuroma, SAI"	"Neuroma, SAI"		
9571/0	"Perineuroma, SAI"	"Perineuroma, SAI"		
9571/3	Perineuroma maligno	Perineuroma maligno		
9571/6	"Perineuroma maligno, metástasis"	"Perineuroma maligno, metástasis"		
9580/0	"Tumor de células granulares, SAI"	"Tumor, cél. granulares, SAI"		
9580/3	Tumor maligno de células granulares	"Tum. maligno, cél. granulares"		
9580/6	"Tumor maligno de células granulares, metástasis"	"Tum. maligno, cél. granulares, metástasis"		
9581/3	Sarcoma alveolar de partes blandas	"Sarcoma alveolar, partes blandas"		
9581/6	"Sarcoma alveolar de partes blandas, metástasis"	"Sarcoma alveolar, partes blandas, metástasis"		
9582/0	Tumor de células granulares de la región selar	"Tumor, cél. granulares, la región selar"		
9590/3	"Linfoma maligno, SAI"	"Linfoma maligno, SAI"		
9591/3	"Linfoma maligno no Hodgkin, SAI"	"Linfoma maligno no Hodgkin, SAI"		
9596/3	"Linfoma compuesto, Hodgkin y no Hodgkin"	"Linfoma compuesto, Hodgkin y no Hodgkin"		
9597/3	Linfoma cutáneo primario centrofolicular	Linfoma cutáneo primario centrofolicular		
9650/3	"Linfoma de Hodgkin, SAI"	"Linfoma, Hodgkin, SAI"		
9651/3	"Linfoma de Hodgkin, rico en linfocitos"	"Linfoma, Hodgkin, rico en linfocitos"		
9652/3	"Linfoma de Hodgkin, celularidad mixta, SAI"	"Linfoma, Hodgkin, celularidad mixta, SAI"		
9653/3	"Linfoma de Hodgkin con depleción linfocítica, SAI"	"Linfoma, Hodgkin con depleción linfocítica, SAI"		
9654/3	"Linfoma de Hodgkin con depleción linfocitíca, tipo fibrosis difusa"	"Linfoma, Hodgkin con depleción linfocitíca, tipo fibrosis difusa"		
9655/3	"Linfoma de Hodgkin con depleción linfocítica, tipo reticular"	"Linfoma, Hodgkin con depleción linfocítica, tipo reticular"		
9659/3	Linfoma de Hodgkin nodular con predominio linfocítico	"Linfoma, Hodgkin nodular con predominio linfocítico"		
9661/3	Granuloma de Hodgkin	"Granuloma, Hodgkin"		
9662/3	Sarcoma de Hodgkin	"Sarcoma, Hodgkin"		
9663/3	"Linfoma de Hodgkin tipo esclerosis nodular, SAI"	"Linfoma, Hodgkin tipo esclerosis nodular, SAI"		
9664/3	"Linfoma de Hodgkin, esclerosis nodular, fase celular"	"Linfoma, Hodgkin, esclerosis nodular, fase celular"		
9665/3	"Linfoma de Hodgkin, esclerosis nodular, grado 1"	"Linfoma, Hodgkin, esclerosis nodular, grado 1"		
9667/3	"Linfoma de Hodgkin, esclerosis nodular, grado 2"	"Linfoma, Hodgkin, esclerosis nodular, grado 2"		
9670/3	"Linfoma maligno de linfocitos B pequeños, SAI"	"Linfoma maligno, linfocitos B pequeños, SAI"		
9671/3	Linfoma maligno linfoplasmocítico	Linfoma maligno linfoplasmocítico		
9673/3	Linfoma de células del manto	"Linfoma, cél., manto"		
9675/3	Linfoma maligno difuso mixto de células grandes y pequeñas 	"Linfoma maligno difuso mixto, cél. grandes y pequeñas "		
9678/3	Linfoma de efusión primaria	"Linfoma, efusión primaria"		
9679/3	Linfoma mediastínico tipo B de células grandes	"Linfoma mediastínico tipo B, cél. grandes"		
9680/3	"Linfoma maligno difuso tipo B de células grandes, SAI"	"Linfoma maligno difuso tipo B, cél. grandes, SAI"		
9684/3	"Linfoma maligno inmunoblástico difuso tipo B de células grandes, SAI"	"Linfoma maligno inmunoblástico difuso tipo B, cél. grandes, SAI"		
9687/3	"Linfoma de Burkitt, SAI"	"Linfoma, Burkitt, SAI"		
9688/3	"Linfoma tipo B de células grandes, rico en células T/histiocitos"	"Linfoma tipo B, cél. grandes, rico en cél. T/histiocitos"		
9689/3	Linfoma de células B de zona marginal esplénica	"Linfoma, cél. B, zona marginal esplénica"		
9690/3	"Linfoma folicular, SAI"	"Linfoma folicular, SAI"		
9691/3	"Linfoma folicular, grado 2"	"Linfoma folicular, grado 2"		
9695/3	Linfoma folicular grado 1	Linfoma folicular grado 1		
9698/3	Linfoma folicular grado 3	Linfoma folicular grado 3		
9699/3	"Linfoma de células B de zona marginal, SAI"	"Linfoma, cél. B, zona marginal, SAI"		
9700/3	Micosis fungoide	Micosis fungoide		
9701/3	Enfermedad de Sézary	"Enfermedad, Sézary"		
9702/3	"Linfoma de células T maduras, SAI"	"Linfoma, cél. T maduras, SAI"		
9705/3	Linfoma de células T angioinmunoblástico 	"Linfoma, cél. T angioinmunoblástico "		
9708/3	Linfoma T subcutáneo tipo paniculitis 	Linfoma T subcutáneo tipo paniculitis 		
9709/3	"Linfoma cutáneo de células T, SAI"	"Linfoma cutáneo, cél. T, SAI"		
9712/3	Linfoma B intravascular de células grandes	"Linfoma B intravascular, cél. grandes"		
9714/3	Linfoma anaplásico de células grandes tipo células T y células Null	"Linfoma anaplásico, cél. grandes tipo cél. T y cél. Null"		
9716/3	Linfoma de células T hepatoesplénico	"Linfoma, cél. T hepatoesplénico"		
9717/3	Linfoma intestinal de células T	"Linfoma intestinal, cél. T"		
9718/3	Trastorno linfoproliferativo cutáneo primario de células T CD30+	"Trastorno linfoproliferativo cutáneo primario, cél. T CD30+"		
9719/3	"Linfoma de células NK/T, nasal y de tipo nasal"	"Linfoma, cél. NK/T, nasal y, tipo nasal"		
9724/3	Enfermedad linfoproliferativa sistémica de células T de la infancia con VEB positivo	"Enf. linfoproliferativa sistémica, cél. T infancia con VEB positivo"		
9725/3	Linfoma de tipo hidroa vacciniforme	"Linfoma, tipo hidroa vacciniforme"		
9726/3	linfoma cutáneo primario de células T gamma-delta	"linfoma cutáneo primario, cél. T gamma-delta"		
9727/3	"Linfoma linfoblástico de células precursoras, SAI"	"Linfoma linfoblástico, cél. precursoras, SAI"		
9728/3	Linfoma linfoblástico de células B precursoras	"Linfoma linfoblástico, cél. B precursoras"		
9729/3	Linfoma linfoblástico de células T precursoras	"Linfoma linfoblástico, cél. T precursoras"		
9731/3	"Plasmocitoma, SAI"	"Plasmocitoma, SAI"		
9732/3	Mieloma múltiple	Mieloma múltiple		
9733/3	Leucemia de células plasmáticas	"Leucemia, cél. plasmáticas"		
9734/3	Plasmocitoma extramedular (no originado en el hueso)	Plasmocitoma extramedular (no originado en el hueso)		
9735/3	Linfoma plasmoblástico	Linfoma plasmoblástico		
9737/3	Linfoma tipo B de células grandes ALK positivo	Linfoma tipo B de células grandes ALK positivo		
9738/3	Linfoma tipo B de células grandes que surge en enfermedad de Castleman multicéntrica asociada a HHV8	"Linfoma B, cél. grandes, sobre enf. Castleman multicéntrica asoc. HHV8"		
9740/1	"Mastocitoma, SAI"	"Mastocitoma, SAI"		
9740/3	Sarcoma de mastocitos	"Sarcoma, mastocitos"		
9740/6	"Sarcoma de mastocitos, metástasis"	"Sarcoma de mastocitos, metástasis"		
9741/1	Mastocitosis sistémica indolente	Mastocitosis sistémica indolente		
9741/3	Mastocitosis maligna	Mastocitosis maligna		
9742/3	Leucemia de mastocitos	"Leucemia, mastocitos"		
9750/3	Histiocitosis maligna	Histiocitosis maligna		
9750/6	"Histiocitosis maligna, metástasis"	"Histiocitosis maligna, metástasis"		
9751/3	"Histiocitosis de células de Langerhans, SAI"	"Histiocitosis, cél., Langerhans, SAI"		
9751/6	"Histiocitosis de células de Langerhans, SAI, metástasis"	"Histiocitosis, cél., Langerhans, SAI, metástasis"		
9755/3	Sarcoma histiocítico	Sarcoma histiocítico		
9755/6	"Sarcoma histiocítico, metástasis"	"Sarcoma histiocítico, metástasis"		
9756/3	Sarcoma de células de Langerhans	"Sarcoma, cél., Langerhans"		
9756/6	"Sarcoma de células de Langerhans, metástasis"	"Sarcoma, cél., Langerhans, metástasis"		
9757/3	Sarcoma interdigitante de células dendríticas	"Sarcoma interdigitante, cél. dendríticas"		
9757/6	"Sarcoma interdigitante de células dendríticas, metástasis"	"Sarcoma interdigitante, cél. dendríticas, metástasis"		
9758/3	Sarcoma de células dendríticas foliculares	"Sarcoma, cél. dendríticas foliculares"		
9758/6	"Sarcoma de células dendríticas foliculares, metástasis"	"Sarcoma, cél. dendríticas foliculares, metástasis"		
9759/3	Tumor de células reticulares fibroblástico	"Tumor, cél. reticulares fibroblástico"		
9759/6	"Tumor de células reticulares fibroblástico, metástasis"	"Tumor, cél. reticulares fibroblástico, metástasis"		
9760/3	"Enfermedad inmunoproliferativa, SAI"	"Enfermedad inmunoproliferativa, SAI"		
9761/3	Macroglobulinemia de Waldenström	"Macroglobulinemia, Waldenström"		
9762/3	"Enfermedad de cadenas pesadas, SAI"	"Enfermedad, cadenas pesadas, SAI"		
9764/3	Enfermedad inmunoproliferativa del intestino delgado	"Enfermedad inmunoproliferativa, intestino delgado"		
9765/1	Gammapatía monoclonal de significado incierto	"Gammapatía monoclonal, significado incierto"		
9766/1	Lesión inmunoproliferativa angiocéntrica	Lesión inmunoproliferativa angiocéntrica		
9767/1	Linfadenopatía angioinmunoblástica (LAIB)	Linfadenopatía angioinmunoblástica (LAIB)		
9768/1	Enfermedad linfoproliferativa T-gamma	Enfermedad linfoproliferativa T-gamma		
9769/1	Enfermedad por depósito de inmunoglobulinas	"Enfermedad por depósito, inmunoglobulinas"		
9800/3	"Leucemia, SAI"	"Leucemia, SAI"		
9801/3	"Leucemia aguda, SAI"	"Leucemia aguda, SAI"		
9805/3	Leucemia aguda bifenotípica	Leucemia aguda bifenotípica		
9806/3	Leucemia aguda de fenotipo mixto con t(9; 22) (q34; q11.2); BCR-ABL1	"Leucemia aguda, fenotipo mixto con t(9; 22) (q34; q11.2); BCR-ABL1"		
9807/3	Leucemia aguda de fenotipo mixto con t(v; 11q23); MLL reordenado	"Leucemia aguda, fenotipo mixto con t(v; 11q23); MLL reordenado"		
9808/3	"Leucemia aguda de fenotipo mixto con células B/mieloides, SAI"	"Leucemia aguda, fenotipo mixto con cél. B/mieloides, SAI"		
9809/3	"Leucemia aguda de fenotipo mixto con células T/mieloides, SAI"	"Leucemia aguda, fenotipo mixto con cél. T/mieloides, SAI"		
9811/3	"Leucemia/linfoma linfoblástica tipo B, SAI"	"Leucemia/linfoma linfoblástica tipo B, SAI"		
9812/3	Leucemia/linfoma linfoblástica tipo B con t(9; 22) (q34; q11.2); BCR-ABL1	Leucemia/linfoma linfoblástica B con t(9; 22) (q34; q11.2); BCR-ABL1		
9813/3	Leucemia/linfoma linfoblástica tipo B con t(v; 11q23); MLL reordenado	Leucemia/linfoma linfoblástica tipo B con t(v; 11q23); MLL reordenado		
9814/3	Leucemia/linfoma linfoblástico tipo B con t(12; 21) (p13; q22); TEL-AML1(ETV6-RUNX1)	"Leucemia/linfoma linfobl. B, t(12; 21)(p13; q22);TEL-AML1(ETV6-RUNX1)"		
9815/3	Leucemia/linfoma linfoblástica tipo B con hiperdiploidia	Leucemia/linfoma linfoblástica tipo B con hiperdiploidia		
9816/3	Leucemia/linfoma linfoblástica tipo B con hipodiploidia (LLA hipodiploide)	"Leucemia/linfoma linfoblástica B, hipodiploidia"		
9817/3	Leucemia/linfoma linfoblástica tipo B con t(5; 14) (q31; q32); IL3-IGH	Leucemia/linfoma linfoblástica tipo B con t(5; 14) (q31; q32); IL3-IGH		
9818/3	Leucemia/linfoma linfoblástica tipo B con t(1; 19) (q23; p13.3); E2A-PBX1 (TCF3-PBX1)	"Leucemia/linfoma linfobl. B, t(1; 19)(q23; p13.3);E2A-PBX1(TCF3-PBX1)"		
9820/3	"Leucemia linfoide, SAI"	"Leucemia linfoide, SAI"		
9823/3	Leucemia linfocítica crónica de células B / linfoma linfocítico de células pequeñas	"Leucemia linfocítica crón. B / linfoma linfocítico, cél. pequeñas"		
9826/3	Leucemia de células de Burkitt	"Leucemia, cél., Burkitt"		
9827/3	Leucemia/linfoma de células T adultas (HTLV-1 positivo)	"Leucemia/linfoma, cél. T adultas (HTLV-1 positivo)"		
9831/3	Leucemia linfocítica de células T grandes granulares	"Leucemia linfocítica, cél. T grandes granulares"		
9832/3	"Leucemia prolinfocítica, SAI"	"Leucemia prolinfocítica, SAI"		
9833/3	Leucemia prolinfocítica tipo células B	Leucemia prolinfocítica tipo cél. B		
9834/3	Leucemia prolinfocítica tipo células T	Leucemia prolinfocítica tipo cél. T		
9835/3	"Leucemia linfoblástica de células precursoras, SAI"	"Leucemia linfoblástica, cél. precursoras, SAI"		
9836/3	Leucemia linfoblástica de células B precursoras	"Leucemia linfoblástica, cél. B precursoras"		
9837/3	Leucemia linfoblástica de células T precursoras	"Leucemia linfoblástica, cél. T precursoras"		
9840/3	Leucemia mieloide aguda tipo M6	Leucemia mieloide aguda tipo M6		
9860/3	"Leucemia mieloide, SAI"	"Leucemia mieloide, SAI"		
9861/3	"Leucemia mieloide aguda, SAI"	"Leucemia mieloide aguda, SAI"		
9863/3	"Leucemia mieloide crónica, SAI"	"Leucemia mieloide crónica, SAI"		
9865/3	Leucemia mieloide aguda con t(6; 9) (p23; q34); DEK-NUP214	Leucemia mieloide aguda con t(6; 9) (p23; q34); DEK-NUP214		
9866/3	Leucemia promielocítica aguda t(15;17)(q22;q11-12)	Leucemia promielocítica aguda t(15;17)(q22;q11-12)		
9867/3	Leucemia mielomonocítica aguda	Leucemia mielomonocítica aguda		
9869/3	Leucemia mieloide aguda con inv(3) (q21;q26.2) o con t(13.3) (q21;q26.2); RPN1-EVI1	"Leuc. mieloide ag., inv(3)(q21;q26.2) o t(13.3)(q21;q26.2); RPN1-EVI1"		
9870/3	Leucemia basófila aguda	Leucemia basófila aguda		
9871/3	Leucemia mieloide aguda con eosinófilos anormales en médula ósea	Leucemia mieloide aguda con eosinófilos anormales en médula ósea		
9872/3	Leucemia mieloide aguda con diferenciación mínima	Leucemia mieloide aguda con diferenciación mínima		
9873/3	Leucemia mieloide aguda sin maduración	Leucemia mieloide aguda sin maduración		
9874/3	Leucemia mieloide aguda con maduración	Leucemia mieloide aguda con maduración		
9875/3	Leucemia mielógena crónica con BCR/ABL positivo	Leucemia mielógena crónica con BCR/ABL positivo		
9876/3	Leucemia mieloide crónica atípica con BCR/ABL negativo	Leucemia mieloide crónica atípica con BCR/ABL negativo		
9891/3	Leucemia monocítica aguda	Leucemia monocítica aguda		
9895/3	Leucemia mieloide aguda con cambios relacionados con mielodisplasia	Leucemia mieloide aguda con cambios relacionados con mielodisplasia		
9896/3	Leucemia mieloide aguda con t(8;21)(q22;q22)	Leucemia mieloide aguda con t(8;21)(q22;q22)		
9897/3	"Leucemia mieloide aguda, anomalías 11q23"	"Leucemia mieloide aguda, anomalías 11q23"		
9898/1	Mielopoyesis anormal transitoria	Mielopoyesis anormal transitoria		
9898/3	Leucemia mieloide asociada al síndrome de Down	"Leucemia mieloide asociada al síndrome, Down"		
9910/3	Leucemia megacarioblástica aguda	Leucemia megacarioblástica aguda		
9911/3	Leucemia mieloide aguda (megacarioblástica) con t(1;22)(p13;q13); RBM15-MKL1	Leucemia mieloide aguda t(1;22)(p13;q13); RBM15-MKL1		
9920/3	Neoplasia mieloide relacionada con tratamiento	Neoplasia mieloide relacionada con tratamiento		
9930/3	Sarcoma mieloide	Sarcoma mieloide		
9931/3	Panmielosis aguda con mielofibrosis	Panmielosis aguda con mielofibrosis		
9940/3	Leucemia de células peludas	"Leucemia, cél. peludas"		
9945/3	"Leucemia mielomonocítica crónica, SAI"	"Leucemia mielomonocítica crónica, SAI"		
9946/3	Leucemia mielomonocítica juvenil	Leucemia mielomonocítica juvenil		
9948/3	Leucemia de células NK agresiva	"Leucemia, cél. NK agresiva"		
9950/3	Policitemia vera	Policitemia vera		
9960/3	"Neoplasia mieloproliferativa, SAI"	"Neoplasia mieloproliferativa, SAI"		
9961/3	Mielofibrosis primaria	Mielofibrosis primaria		
9962/3	Trombocitemia esencial	Trombocitemia esencial		
9963/3	Leucemia neutrofílica crónica	Leucemia neutrofílica crónica		
9964/3	"Leucemia eosinófila crónica, SAI"	"Leucemia eosinófila crónica, SAI"		
9965/3	Neoplasias mieloides y linfoides con recomposición PDGFRA	Neoplasias mieloides y linfoides con recomposición PDGFRA		
9966/3	Neoplasias mieloides con recomposición PDGFRB	Neoplasias mieloides con recomposición PDGFRB		
9967/3	Neoplasias mieloides y linfoides con anomalías FGFR1	Neoplasias mieloides y linfoides con anomalías FGFR1		
9970/1	"Trastorno linfoproliferativo, SAI"	"Trastorno linfoproliferativo, SAI"		
9971/1	"Trastorno linfoproliferativo postrasplante, SAI"	"Trastorno linfoproliferativo postrasplante, SAI"		
9971/3	Trastorno linfoproliferativo postrasplante polimorfo	Trastorno linfoproliferativo postrasplante polimorfo		
9975/3	Neoplasia mieloproliferativa inclasificable	Neoplasia mieloproliferativa inclasificable		
9980/3	"Anemia refractaria, SAI"	"Anemia refractaria, SAI"		
9982/3	Anemia refractaria con sideroblastos	Anemia refractaria con sideroblastos		
9983/3	Anemia refractaria con exceso de blastos	"Anemia refractaria con exceso, blastos"		
9984/3	Anemia refractaria con exceso de blastos en transformación	"Anemia refractaria con exceso, blastos en transformación"		
9985/3	Citopenia refractaria con displasia multilineal	Citopenia refractaria con displasia multilineal		
9986/3	Síndrome mielodisplásico con síndrome de deleción 5q (5q-)	"Síndrome mielodisplásico con síndrome, deleción 5q (5q-)"		
9987/3	"Síndrome mielodisplásico relacionado con terapia, SAI"	"Síndrome mielodisplásico relacionado con terapia, SAI"		
9989/3	"Síndrome mielodisplásico, SAI"	"Síndrome mielodisplásico, SAI"		
9991/3	Neutropenia refractaria	Neutropenia refractaria		
9992/3	Trombocitopenia refractaria	Trombocitopenia refractaria		
